    9.231, 0.5617, 0.5224,  4.02124,  4.03386,    10.00,  89.85,   0.13, 
    9.744, 0.5596, 0.5237,  4.01620,  4.02924,    10.00,  89.85,   0.13, 
   10.257, 0.5574, 0.5249,  4.01154,  4.02424,    10.00,  89.85,   0.13, 
   10.770, 0.5553, 0.5262,  4.00750,  4.01924,    10.00,  89.85,   0.12, 
   11.283, 0.5532, 0.5274,  4.00415,  4.01457,    10.00,  89.85,   0.10, 
   11.796, 0.5511, 0.5286,  4.00145,  4.01050,    10.00,  89.85,   0.09, 
   12.309, 0.5489, 0.5299,  3.99928,  4.00712,    10.00,  89.85,   0.08, 
   12.822, 0.5468, 0.5311,  3.99750,  4.00442,    10.00,  89.85,   0.07, 
   13.335, 0.5447, 0.5324,  3.99599,  4.00227,    10.00,  89.85,   0.06, 
   13.848, 0.5426, 0.5336,  3.99464,  4.00054,    10.00,  89.85,   0.06, 
   14.361, 0.5404, 0.5349,  3.99337,  3.99911,    10.00,  89.85,   0.06, 
   14.874, 0.5383, 0.5361,  3.99210,  3.99786,    10.00,  89.85,   0.06, 
   15.387, 0.5362, 0.5374,  3.99080,  3.99670,    10.00,  89.85,   0.06, 
   15.900, 0.5340, 0.5386,  3.98941,  3.99558,    10.00,  89.85,   0.06, 
   16.413, 0.5319, 0.5399,  3.98791,  3.99442,    10.00,  89.85,   0.07, 
   16.926, 0.5298, 0.5411,  3.98627,  3.99320,    10.00,  89.85,   0.07, 
   17.439, 0.5277, 0.5423,  3.98447,  3.99188,    10.00,  89.85,   0.07, 
   17.952, 0.5255, 0.5436,  3.98248,  3.99041,    10.00,  89.85,   0.08, 
   18.465, 0.5234, 0.5448,  3.98029,  3.98879,    10.00,  89.85,   0.09, 
   18.978, 0.5213, 0.5461,  3.97787,  3.98698,    10.00,  89.85,   0.09, 
   19.491, 0.5191, 0.5473,  3.97522,  3.98496,    10.00,  89.85,   0.10, 
   20.004, 0.5170, 0.5486,  3.97232,  3.98271,    10.00,  89.85,   0.10, 
   20.517, 0.5149, 0.5498,  3.96917,  3.98022,    10.00,  89.85,   0.11, 
