    5.127, 0.3873, 0.6245,  3.62998,  3.82535,   100.00,  24.85,  19.45, 
    5.640, 0.3660, 0.6370,  3.61171,  3.81179,   100.00,  24.85,  19.93, 
    6.153, 0.3447, 0.6494,  3.59397,  3.79795,   100.00,  24.85,  20.32, 
    6.666, 0.3235, 0.6619,  3.57562,  3.78464,   100.00,  24.85,  20.76, 
    7.179, 0.3022, 0.6743,  3.55522,  3.77204,   100.00,  24.85,  21.45, 
    7.692, 0.2809, 0.6868,  3.53417,  3.75960,   100.00,  24.85,  22.25, 
    8.205, 0.2596, 0.6992,  3.51587,  3.74634,   100.00,  24.85,  22.65, 
    8.718, 0.2383, 0.7117,  3.49948,  3.73147,   100.00,  24.85,  22.76, 
    9.231, 0.2171, 0.7241,  3.48304,  3.71483,   100.00,  24.85,  22.85, 
    9.744, 0.1958, 0.7366,  3.46641,  3.69692,   100.00,  24.85,  22.98, 
   10.257, 0.1745, 0.7491,  3.44996,  3.67856,   100.00,  24.85,  23.18, 
   10.770, 0.1532, 0.7615,  3.42310,  3.66025,   100.00,  24.85,  24.23, 
   11.283, 0.1319, 0.7740,  3.17591,  3.64105,   100.00,  24.85,  46.98, 
   11.539, 0.1213, 0.7802,  2.48598,  3.63182,   100.00,  24.85, 115.07, 
   11.604, 0.1186, 0.7818,  2.12625,  3.62984,   100.00,  24.85, 150.84, 
   11.620, 0.1180, 0.7822,  2.01687,  3.62937,   100.00,  24.85, 161.72, 
   11.624, 0.1178, 0.7823,  1.98523,  3.62924,   100.00,  24.85, 164.87, 

            mass  =  0.8166 kg/m2
 specific energy segment =    85.15 W-h/kg
 specific power segment  =   439.53 W/kg
 total heat =          4.8275 W-h/m2
  
